Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
22-04-2010,232.8114166,236.7393882,227.2494798,227.346865,25598349
23-04-2010,235.5058289,237.1938827,233.7311959,233.7311959,23235165
26-04-2010,231.8375702,237.5834578,230.1603223,233.7312153,16652152
27-04-2010,229.6733551,231.1341767,228.3207537,230.0520898,13970196
28-04-2010,220.1509857,228.0935082,219.0147815,228.0935082,40110291
29-04-2010,224.0032196,225.0528448,220.5621739,221.6117991,23447044
30-04-2010,223.6894226,226.6326927,222.9103119,225.0744858,15821019
03-05-2010,221.5576935,223.472994,220.334939,222.044634,12535244
04-05-2010,220.9950104,224.8580731,219.3394182,221.6550802,17348783
05-05-2010,220.8868103,221.5144184,217.1319677,218.5819544,14976570
06-05-2010,218.1166687,221.4603148,217.2834551,220.7028597,23863448
07-05-2010,223.5162811,229.4028503,211.223755,211.223755,72063684
10-05-2010,235.3294067,235.8962538,226.7394666,229.137677,38050844
11-05-2010,232.8003845,237.4223805,231.8301998,237.4223805,26325489
12-05-2010,236.1033783,237.5204887,231.9828256,234.5990484,15294301
13-05-2010,233.6724548,238.3816557,231.5358742,231.5358742,11947698
14-05-2010,227.5352325,233.498049,225.6493662,232.7785786,18161695
17-05-2010,221.6269379,225.5839814,219.9808997,225.5839814,20611809
18-05-2010,222.5099182,225.3114518,219.7192707,222.3791107,15445191
19-05-2010,217.7243958,221.8885509,216.9504223,221.725027,26097480
20-05-2010,218.0078125,220.8529629,216.6560913,218.2367402,18577281
21-05-2010,217.0485229,217.9860058,212.8080635,215.8167233,19167407
24-05-2010,222.9568634,228.6907528,221.6051421,221.9430761,24726303
25-05-2010,214.8901367,223.4691756,214.2578859,223.4691756,25245934
26-05-2010,219.7737579,220.1988823,216.0565286,216.9068064,13726569
27-05-2010,222.8696442,224.0578414,218.3675549,220.4169307,27405100
28-05-2010,226.0090942,226.5214381,221.1799721,224.5483669,17535288
31-05-2010,227.9603882,228.592639,224.2867609,224.591993,16548811
01-06-2010,220.3188324,227.8295672,218.912608,227.458946,19466130
02-06-2010,220.4278259,222.5971085,218.749086,221.2890044,19728249
03-06-2010,224.7337036,226.3034374,222.357309,222.357309,17106958
04-06-2010,224.8209229,225.867412,222.9132551,224.7773058,14088022
07-06-2010,219.7083588,221.2890076,218.0187182,221.2890076,13503377
08-06-2010,217.2338409,220.7875463,216.9504102,220.1334798,15226706
09-06-2010,219.5557404,221.2889979,218.0187086,218.0623111,15242486
10-06-2010,221.3652954,221.8231362,219.5775348,220.1988849,13962908
11-06-2010,228.1347961,229.1049809,222.5971183,223.4691974,23307069
14-06-2010,231.8628998,233.2800247,228.7234325,229.9879486,15892958
15-06-2010,232.4297485,233.2582251,228.9414612,232.2335373,18992836
16-06-2010,230.6528931,233.857764,230.0315429,233.2800164,11833071
17-06-2010,233.5852509,234.8061499,230.7291999,231.8192914,21047804
18-06-2010,229.8680267,237.5968027,229.0395647,235.5038099,38277934
21-06-2010,232.3316803,233.6506998,231.3178929,231.3178929,11792906
22-06-2010,231.9283142,234.3265246,230.4348849,231.7539042,12908863
23-06-2010,230.8164063,232.7349744,229.7917184,231.0344333,11659191
24-06-2010,229.3665924,232.3643517,228.3310039,230.881823,18805263
25-06-2010,231.7429962,232.8439885,227.3935304,228.9196615,20325423
28-06-2010,237.6730957,238.0764188,232.2226234,234.1520921,31472648
29-06-2010,232.7240906,237.8584307,232.0155354,237.8584307,14213976
30-06-2010,237.6076965,238.5015623,230.5547887,231.0998344,26637611
01-07-2010,234.6426544,236.8446389,232.5169743,236.332295,13310905
02-07-2010,233.0511017,236.3213763,232.255327,234.5881334,10948784
05-07-2010,232.9093781,233.9667677,231.688479,233.2800138,6399512
06-07-2010,234.1302948,235.8744384,232.2989317,232.2989317,9255011
07-07-2010,229.6936188,234.3265154,229.1376723,234.1521054,13738578
08-07-2010,230.4676056,233.1819341,230.0642679,231.0998564,11977911
09-07-2010,230.5874939,232.4079419,229.6936136,231.9610163,12974909
12-07-2010,230.2822723,232.8330914,229.3665907,231.0998483,12563614
13-07-2010,234.2174835,234.9696411,230.5002689,230.5002689,15043285
14-07-2010,233.3781433,238.6106037,232.6804887,235.460221,15970199
15-07-2010,234.032196,235.6564328,232.8657855,233.7051627,13877250
16-07-2010,231.7429962,234.1521071,231.0998448,233.5089557,8779539
19-07-2010,230.2386627,232.386144,229.74812,230.6856029,9808534
20-07-2010,229.5628204,232.3861552,228.7234432,230.4458002,6845092
21-07-2010,230.7510223,231.753909,230.1514734,230.8600286,9824712
22-07-2010,230.8818054,231.2851431,228.3964048,230.7509979,15879834
23-07-2010,231.197937,233.4762257,230.4021623,231.9610098,13790021
26-07-2010,229.5955048,232.7131707,228.9741546,231.8628929,9113728
27-07-2010,229.6827087,231.350548,229.1594642,230.8491047,12133425
28-07-2010,222.6516113,234.0758011,221.9430561,231.7538952,52927114
29-07-2010,220.2316132,224.2322444,219.7628717,224.2322444,46281590
30-07-2010,220.1225739,222.4553802,219.5993293,221.2780837,19242072
02-08-2010,221.1908875,222.7715363,220.5041335,221.5070201,12676917
03-08-2010,224.0687408,224.7554948,221.0709816,222.1937751,20104173
04-08-2010,221.5178986,224.7772725,220.7548403,224.1232205,18318233
05-08-2010,219.5557404,223.1857503,219.1197008,222.3681889,18308022
06-08-2010,218.0404968,220.2206799,217.6916769,219.9590649,19955917
09-08-2010,216.6233826,219.3268248,216.2745626,218.0187062,22253619
10-08-2010,215.3806763,218.5419446,215.0318417,216.0565295,19989721
11-08-2010,214.3668976,216.9068159,213.6801437,215.7949231,21917268
12-08-2010,212.0449982,214.3669041,211.4781511,213.6583489,24910354
13-08-2010,213.4620972,216.6669824,211.5871462,211.5871462,30512197
16-08-2010,212.9824829,216.2527723,212.5682592,213.6583508,14028775
17-08-2010,211.619873,214.7375391,211.4781504,213.6583481,14788743
18-08-2010,210.3008423,213.0042699,208.9382206,212.1322054,24859327
19-08-2010,213.0478821,214.7266365,210.1046406,210.1046406,20662946
20-08-2010,215.5441895,216.5797779,212.0231859,213.0478737,20996195
23-08-2010,212.9824829,216.2854742,212.6990667,216.2854742,13543428
24-08-2010,212.0013733,213.8763388,210.8894805,212.9824585,19276160
25-08-2010,210.9985046,213.189603,210.4970613,211.4781467,18620473
26-08-2010,208.5239868,212.1321952,208.2187548,211.4781287,27834839
27-08-2010,207.0305939,209.4941935,206.3656266,209.0581685,24315870
30-08-2010,206.6708527,210.3444653,206.0277012,207.5756337,11908601
31-08-2010,200.4028168,207.1068906,199.4871351,205.9513952,46605039
01-09-2010,204.1091309,205.7660696,200.7952389,201.6782186,27886811
02-09-2010,204.3816376,206.3874108,204.0655195,206.0276901,17699285
03-09-2010,201.8199158,205.2864163,201.492897,204.9375963,14440305
06-09-2010,207.6955261,208.7965183,201.0786577,202.964524,33928353
07-09-2010,209.7994232,211.4127595,207.7718486,208.2078882,28379708
08-09-2010,209.2107697,210.3226626,207.5538309,208.2296843,11632859
09-09-2010,208.9818268,210.8676931,208.2514704,209.9411109,10114309
13-09-2010,216.3835754,217.0376275,210.4643615,211.9141882,27474309
14-09-2010,215.4351959,218.6727689,214.6067339,217.0376315,19472955
15-09-2010,221.0491943,222.0956835,215.6205225,215.6205225,33554695
16-09-2010,218.0950317,221.3653213,217.4082778,220.6567515,18540979
17-09-2010,223.9815369,224.8645166,219.1088118,219.1088118,31955142
20-09-2010,227.044693,227.6006394,222.6189083,224.3412652,30419766
21-09-2010,225.6820831,228.5926375,223.4800986,227.1755125,21351925
22-09-2010,222.3899841,227.546125,221.288992,225.4313457,25872625
23-09-2010,217.5063629,223.2511522,217.1466277,222.3899883,23030491
24-09-2010,218.3784637,219.9808994,216.296386,218.0187285,22669074
27-09-2010,220.2425232,222.3573027,219.1306157,219.7628811,16465376
28-09-2010,217.6916962,220.6349377,216.4925838,219.8282769,19682506
29-09-2010,217.800705,219.9808882,216.9286258,218.0187175,17790040
30-09-2010,215.2389984,218.4547704,213.2441257,218.4547704,28981699
01-10-2010,219.7410583,220.1988846,215.8385184,216.2745579,19104034
04-10-2010,221.9103546,223.6435977,221.2781038,221.2781038,21163057
05-10-2010,223.2184753,224.9517331,219.9809021,221.5070334,22938984
06-10-2010,227.8186646,228.2656048,223.8943375,224.5592902,28137687
07-10-2010,226.5541687,230.1732784,225.1043418,227.8186704,31547758
08-10-2010,228.843338,229.966146,224.6791829,228.2001866,20865341
11-10-2010,233.1056366,233.7705893,229.5955332,230.227784,25796876
12-10-2010,230.1405487,233.1492084,228.0802725,232.8439764,13979878
13-10-2010,233.9449768,234.1521032,229.9443456,230.2495631,23967306
14-10-2010,230.8818054,235.787232,229.8353164,234.3701071,24414709
15-10-2010,226.8157501,232.84397,225.7801617,231.0998264,11601973
18-10-2010,228.3636932,232.1790283,225.2678285,227.2299992,22209315
19-10-2010,227.6987457,232.9966096,226.5759522,232.1899342,18579617
20-10-2010,228.7997284,232.059117,226.3034126,226.6086446,18232837
21-10-2010,235.819931,237.1716521,228.7452221,229.3556716,37273145
22-10-2010,235.8526459,238.4688686,234.2284091,236.6484206,19627279
25-10-2010,237.7166901,240.234807,236.7683067,237.2043462,18019151
26-10-2010,239.56987,240.0277108,237.0081503,237.8366269,15444185
27-10-2010,238.239975,242.0007928,236.1687978,239.3845698,21946562
28-10-2010,235.8962555,240.0168083,234.2829193,239.6897895,36188021
29-10-2010,239.0030212,241.390331,235.5692369,237.1389706,29722655
01-11-2010,238.3380585,245.2492438,237.47688,244.398966,30509287
02-11-2010,234.3374176,238.8177055,233.3454316,238.8177055,20360675
03-11-2010,232.2553406,236.528502,231.6775929,235.8962512,19939993
04-11-2010,240.9215698,241.3467087,234.3701053,235.0023561,24311819
08-11-2010,242.4041138,243.9629468,239.9404997,242.851054,22364112
09-11-2010,241.6846466,244.2899541,239.2210327,242.4913074,15410057
10-11-2010,240.3002319,243.505103,239.6461799,241.2813173,11899060
